,Date,Close,Open,High,Low
1311,19/11/2019,3120.18,3127.45,3127.64,3113.47
1312,18/11/2019,3122.03,3117.91,3124.17,3112.06
1313,15/11/2019,3120.46,3107.92,3120.46,3104.6
1314,14/11/2019,3096.63,3090.75,3098.2,3083.26
1315,13/11/2019,3094.04,3084.18,3098.06,3078.8
1316,12/11/2019,3091.84,3089.28,3102.61,3084.73
1317,11/11/2019,3087.01,3080.33,3088.33,3075.82
1318,08/11/2019,3093.08,3081.25,3093.09,3073.58
1319,07/11/2019,3085.18,3087.02,3097.77,3080.23
1320,06/11/2019,3076.78,3075.1,3078.34,3065.89
1321,05/11/2019,3074.62,3080.8,3083.95,3072.15
1322,04/11/2019,3078.27,3078.96,3085.2,3074.87
1323,01/11/2019,3066.91,3050.72,3066.95,3050.72
1324,31/10/2019,3037.56,3046.9,3046.9,3023.19
1325,30/10/2019,3046.77,3039.74,3050.1,3025.96
1326,29/10/2019,3036.89,3035.39,3047.87,3034.81
1327,28/10/2019,3039.42,3032.12,3044.08,3032.12
1328,25/10/2019,3022.55,3003.32,3027.39,3001.94
1329,24/10/2019,3010.29,3014.78,3016.07,3000.42
1330,23/10/2019,3004.52,2994.01,3004.78,2991.21
1331,22/10/2019,2995.99,3010.73,3014.57,2995.04
1332,21/10/2019,3006.72,2996.48,3007.33,2995.35
1333,18/10/2019,2986.2,2996.84,3000.0,2976.31
1334,17/10/2019,2997.95,3000.77,3008.29,2991.79
1335,16/10/2019,2989.69,2989.68,2997.54,2985.2
1336,15/10/2019,2995.68,2973.61,3003.28,2973.61
1337,14/10/2019,2966.15,2965.81,2972.84,2962.94
1338,11/10/2019,2970.27,2963.07,2993.28,2963.07
1339,10/10/2019,2938.13,2918.55,2948.46,2917.12
1340,09/10/2019,2919.4,2911.1,2929.32,2907.41
1341,08/10/2019,2893.06,2920.4,2925.47,2892.66
1342,07/10/2019,2938.79,2944.23,2959.75,2935.68
1343,04/10/2019,2952.01,2918.56,2953.74,2918.56
1344,03/10/2019,2910.63,2885.38,2911.13,2855.94
1345,02/10/2019,2887.61,2924.78,2924.78,2874.93
1346,01/10/2019,2940.25,2983.69,2992.53,2938.7
1347,30/09/2019,2976.74,2967.07,2983.85,2967.07
1348,27/09/2019,2961.79,2985.47,2987.31,2945.53
1349,26/09/2019,2977.62,2985.73,2987.28,2963.71
1350,25/09/2019,2984.87,2968.35,2989.82,2952.86
1351,24/09/2019,2966.6,3002.43,3007.98,2957.73
1352,23/09/2019,2991.78,2983.5,2999.15,2982.23
1353,20/09/2019,2992.07,3008.42,3016.37,2984.68
1354,19/09/2019,3006.79,3010.36,3021.99,3003.16
1355,18/09/2019,3006.73,3001.5,3007.83,2978.57
1356,17/09/2019,3005.7,2995.67,3006.21,2993.73
1357,16/09/2019,2997.96,2996.41,3002.19,2990.67
1358,13/09/2019,3007.39,3012.21,3017.33,3002.9
1359,12/09/2019,3009.57,3009.08,3020.74,3000.92
1360,11/09/2019,3000.93,2981.41,3000.93,2975.31
1361,10/09/2019,2979.39,2971.01,2979.39,2957.01
1362,09/09/2019,2978.43,2988.43,2989.43,2969.39
1363,06/09/2019,2978.71,2980.33,2985.03,2972.51
1364,05/09/2019,2976.0,2960.6,2985.86,2960.6
1365,04/09/2019,2937.78,2924.67,2938.84,2921.86
1366,03/09/2019,2906.27,2909.01,2914.39,2891.85
1367,30/08/2019,2926.46,2937.09,2940.43,2913.32
1368,29/08/2019,2924.58,2910.37,2930.5,2905.67
1369,28/08/2019,2887.94,2861.28,2890.03,2853.05
1370,27/08/2019,2869.16,2893.14,2898.79,2860.59
1371,26/08/2019,2878.38,2866.7,2879.27,2856.0
1372,23/08/2019,2847.11,2911.07,2927.01,2834.97
1373,22/08/2019,2922.95,2930.94,2939.08,2904.51
1374,21/08/2019,2924.43,2922.04,2928.73,2917.91
1375,20/08/2019,2900.51,2919.01,2923.63,2899.6
1376,19/08/2019,2923.65,2913.48,2931.0,2913.48
1377,16/08/2019,2888.68,2864.74,2893.63,2864.74
1378,15/08/2019,2847.6,2846.2,2856.67,2825.51
1379,14/08/2019,2840.6,2894.15,2894.15,2839.64
1380,13/08/2019,2926.32,2880.72,2943.31,2877.05
1381,12/08/2019,2883.09,2907.07,2907.58,2873.14
1382,09/08/2019,2918.65,2930.51,2935.75,2900.15
1383,08/08/2019,2938.09,2896.21,2938.72,2894.47
1384,07/08/2019,2883.98,2858.65,2892.17,2825.71
1385,06/08/2019,2881.77,2861.18,2884.4,2847.42
1386,05/08/2019,2844.74,2898.07,2898.07,2822.12
1387,02/08/2019,2932.05,2943.9,2945.5,2914.11
1388,01/08/2019,2953.56,2980.32,3013.59,2945.23
1389,31/07/2019,2980.38,3016.22,3017.4,2958.08
1390,30/07/2019,3013.18,3007.66,3017.19,3000.94
1391,29/07/2019,3020.97,3024.47,3025.61,3014.3
1392,26/07/2019,3025.86,3013.25,3027.98,3012.59
1393,25/07/2019,3003.67,3016.26,3016.31,2997.24
1394,24/07/2019,3019.56,2998.77,3019.59,2996.82
1395,23/07/2019,3005.47,2994.74,3005.9,2988.56
1396,22/07/2019,2985.03,2981.93,2990.71,2976.65
1397,19/07/2019,2976.61,3004.26,3006.02,2975.86
1398,18/07/2019,2995.11,2978.87,2998.28,2973.09
1399,17/07/2019,2984.42,3005.1,3005.26,2984.25
1400,16/07/2019,3004.04,3012.13,3015.02,3001.15
1401,15/07/2019,3014.3,3017.8,3017.8,3008.77
1402,12/07/2019,3013.77,3003.36,3013.92,3001.87
1403,11/07/2019,2999.91,2999.62,3002.33,2988.8
1404,10/07/2019,2993.07,2989.3,3002.98,2984.62
1405,09/07/2019,2979.63,2965.52,2981.9,2963.44
1406,08/07/2019,2975.95,2979.77,2980.76,2970.09
1407,05/07/2019,2990.41,2984.25,2994.03,2967.97
1408,03/07/2019,2995.82,2978.08,2995.84,2977.96
1409,02/07/2019,2973.01,2964.66,2973.21,2955.92
1410,01/07/2019,2964.33,2971.41,2977.93,2952.22
1411,28/06/2019,2941.76,2932.94,2943.98,2929.05
1412,27/06/2019,2924.92,2919.66,2929.3,2918.57
1413,26/06/2019,2913.78,2926.07,2932.59,2912.99
1414,25/06/2019,2917.38,2945.78,2946.52,2916.01
1415,24/06/2019,2945.35,2951.42,2954.92,2944.05
1416,21/06/2019,2950.46,2952.71,2964.15,2946.87
1417,20/06/2019,2954.18,2949.6,2958.06,2931.5
1418,19/06/2019,2926.46,2920.55,2931.74,2911.43
1419,18/06/2019,2917.75,2906.71,2930.79,2905.44
1420,17/06/2019,2889.67,2889.75,2897.27,2887.3
1421,14/06/2019,2886.98,2886.82,2894.45,2879.62
1422,13/06/2019,2891.64,2886.24,2895.24,2881.99
1423,12/06/2019,2879.84,2882.73,2888.57,2874.68
1424,11/06/2019,2885.72,2903.27,2910.61,2878.53
1425,10/06/2019,2886.73,2885.83,2904.77,2885.51
1426,07/06/2019,2873.34,2852.87,2884.97,2852.87
1427,06/06/2019,2843.49,2828.51,2852.1,2822.45
1428,05/06/2019,2826.15,2818.09,2827.28,2800.92
1429,04/06/2019,2803.27,2762.64,2804.49,2762.64
1430,03/06/2019,2744.45,2751.53,2763.07,2728.81
1431,31/05/2019,2752.06,2766.15,2768.98,2750.52
1432,30/05/2019,2788.86,2786.94,2799.0,2776.74
1433,29/05/2019,2783.02,2790.25,2792.03,2766.06
1434,28/05/2019,2802.39,2830.03,2840.51,2801.58
1435,24/05/2019,2826.06,2832.41,2841.36,2820.19
1436,23/05/2019,2822.24,2836.7,2836.7,2805.49
1437,22/05/2019,2856.27,2856.06,2865.47,2851.11
1438,21/05/2019,2864.36,2854.02,2868.88,2854.02
1439,20/05/2019,2840.23,2841.94,2853.86,2831.29
1440,17/05/2019,2859.53,2858.6,2885.48,2854.23
1441,16/05/2019,2876.32,2855.8,2892.15,2855.8
1442,15/05/2019,2850.96,2820.38,2858.68,2815.08
1443,14/05/2019,2834.41,2820.12,2852.54,2820.12
1444,13/05/2019,2811.87,2840.19,2840.19,2801.43
1445,10/05/2019,2881.4,2863.1,2891.31,2825.39
1446,09/05/2019,2870.72,2859.84,2875.97,2836.4
1447,08/05/2019,2879.42,2879.61,2897.96,2873.28
1448,07/05/2019,2884.05,2913.03,2913.03,2862.6
1449,06/05/2019,2932.47,2908.89,2937.32,2898.21
1450,03/05/2019,2945.64,2929.21,2947.85,2929.21
1451,02/05/2019,2917.52,2922.16,2931.68,2900.5
1452,01/05/2019,2923.73,2952.33,2954.13,2923.36
1453,30/04/2019,2945.83,2937.14,2948.22,2924.11
1454,29/04/2019,2943.03,2940.58,2949.52,2939.35
1455,26/04/2019,2939.88,2925.81,2939.88,2917.56
1456,25/04/2019,2926.17,2928.99,2933.1,2912.84
1457,24/04/2019,2927.25,2934.0,2936.83,2926.05
1458,23/04/2019,2933.68,2909.99,2936.31,2908.53
1459,22/04/2019,2907.97,2898.78,2909.51,2896.35
1460,18/04/2019,2905.03,2904.81,2908.4,2891.9
1461,17/04/2019,2900.45,2916.04,2918.0,2895.45
1462,16/04/2019,2907.06,2912.26,2916.06,2900.71
1463,15/04/2019,2905.58,2908.32,2909.6,2896.48
1464,12/04/2019,2907.41,2900.86,2910.54,2898.37
1465,11/04/2019,2888.32,2891.92,2893.42,2881.99
1466,10/04/2019,2888.21,2881.37,2889.71,2879.13
1467,09/04/2019,2878.2,2886.58,2886.88,2873.33
1468,08/04/2019,2895.77,2888.46,2895.95,2880.78
1469,05/04/2019,2892.74,2884.16,2893.24,2882.99
1470,04/04/2019,2879.39,2873.99,2881.28,2867.14
1471,03/04/2019,2873.4,2876.09,2885.25,2865.17
1472,02/04/2019,2867.24,2868.24,2872.9,2858.75
1473,01/04/2019,2867.19,2848.63,2869.4,2848.63
1474,29/03/2019,2834.4,2828.27,2836.03,2819.23
1475,28/03/2019,2815.44,2809.4,2819.71,2798.77
1476,27/03/2019,2805.37,2819.72,2825.56,2787.72
1477,26/03/2019,2818.46,2812.66,2829.87,2803.99
1478,25/03/2019,2798.36,2796.01,2809.79,2785.02
1479,22/03/2019,2800.71,2844.52,2846.16,2800.47
1480,21/03/2019,2854.88,2819.72,2860.31,2817.38
1481,20/03/2019,2824.23,2831.34,2843.54,2812.43
1482,19/03/2019,2832.57,2840.76,2852.42,2823.27
1483,18/03/2019,2832.94,2822.61,2835.41,2821.99
1484,15/03/2019,2822.48,2810.79,2830.73,2810.79
1485,14/03/2019,2808.48,2810.38,2815.0,2803.46
1486,13/03/2019,2810.92,2799.78,2821.24,2799.78
1487,12/03/2019,2791.52,2787.34,2798.32,2786.73
1488,11/03/2019,2783.3,2747.61,2784.0,2747.61
1489,08/03/2019,2743.07,2730.79,2744.13,2722.27
1490,07/03/2019,2748.93,2766.53,2767.25,2739.09
1491,06/03/2019,2771.45,2790.27,2790.27,2768.69
1492,05/03/2019,2789.65,2794.41,2796.44,2782.97
1493,04/03/2019,2792.81,2814.37,2816.88,2767.66
1494,01/03/2019,2803.69,2798.22,2808.02,2787.38
1495,28/02/2019,2784.49,2788.11,2793.73,2782.51
1496,27/02/2019,2792.38,2787.5,2795.76,2775.13
1497,26/02/2019,2793.9,2792.36,2803.12,2789.47
1498,25/02/2019,2796.11,2804.35,2813.49,2794.99
1499,22/02/2019,2792.67,2780.67,2794.2,2779.11
1500,21/02/2019,2774.88,2780.24,2781.58,2764.55
1501,20/02/2019,2784.7,2779.05,2789.88,2774.06
1502,19/02/2019,2779.76,2769.28,2787.33,2767.29
1503,15/02/2019,2775.6,2760.24,2775.66,2760.24
1504,14/02/2019,2745.73,2743.5,2757.9,2731.23
1505,13/02/2019,2753.03,2750.3,2761.85,2748.63
1506,12/02/2019,2744.73,2722.61,2748.19,2722.61
1507,11/02/2019,2709.8,2712.4,2718.05,2703.79
1508,08/02/2019,2707.88,2692.36,2708.07,2681.83
1509,07/02/2019,2706.05,2717.53,2719.32,2687.26
1510,06/02/2019,2731.61,2735.05,2738.08,2724.15
1511,05/02/2019,2737.7,2728.34,2738.98,2724.03
1512,04/02/2019,2724.87,2706.49,2724.99,2698.75
1513,01/02/2019,2706.53,2702.32,2716.66,2696.88
1514,31/01/2019,2704.1,2685.49,2708.95,2678.65
1515,30/01/2019,2681.05,2653.62,2690.44,2648.34
1516,29/01/2019,2640.0,2644.89,2650.93,2631.05
1517,28/01/2019,2643.85,2644.97,2644.97,2624.06
